script,wake_model,seed,method,AEP [GWh],Improvement over Horns Rev [GWh],runtime_sec,iterations,random_step_schedule_D,wd_step_deg,n_wd,ws
ResultsRS,NOJ,2,Current Horns Rev,70.47447376426608,0.0,0.0,0,"[(20, 1200), (5, 400), (1, 400)]",10,36,9.6
ResultsRS,NOJ,2,RS,72.95390537970664,2.4794316154405607,1287.8764443000546,2000,"[(20, 1200), (5, 400), (1, 400)]",10,36,9.6
ResultsRS,NOJ,2,RS--2S,73.02841290087781,2.5539391366117314,10268.799852000084,2240,"[(20, 1200), (5, 400), (1, 400)]",10,36,9.6
ResultsRS,NOJ,2,RS--GB,73.01848476665238,2.5440110023862985,1371.9870856001507,2200,"[(20, 1200), (5, 400), (1, 400)]",10,36,9.6
ResultsRS,NOJ,2,RS--2S--GB,73.09245587957692,2.617982115310838,10307.134908200009,2440,"[(20, 1200), (5, 400), (1, 400)]",10,36,9.6
ResultsRS,NOJ,3,Current Horns Rev,70.47447376426608,0.0,0.0,0,"[(20, 1200), (5, 400), (1, 400)]",10,36,9.6
ResultsRS,NOJ,3,RS,73.07168535674205,2.597211592475972,1035.1587649000576,2000,"[(20, 1200), (5, 400), (1, 400)]",10,36,9.6
ResultsRS,NOJ,3,RS--2S,73.10065745465688,2.6261836903908033,6043.89416460006,2160,"[(20, 1200), (5, 400), (1, 400)]",10,36,9.6
ResultsRS,NOJ,3,RS--GB,73.16520266738738,2.690728903121297,1223.591823499999,2200,"[(20, 1200), (5, 400), (1, 400)]",10,36,9.6
ResultsRS,NOJ,3,RS--2S--GB,73.16598356622828,2.691509801962198,6153.233125900035,2360,"[(20, 1200), (5, 400), (1, 400)]",10,36,9.6
ResultsRS,NOJ,4,Current Horns Rev,70.47447376426608,0.0,0.0,0,"[(20, 1200), (5, 400), (1, 400)]",10,36,9.6
ResultsRS,NOJ,4,RS,73.03215784135784,2.557684077091764,1326.2107566000195,2000,"[(20, 1200), (5, 400), (1, 400)]",10,36,9.6
ResultsRS,NOJ,4,RS--2S,73.092911435768,2.6184376715019226,9777.263087400119,2240,"[(20, 1200), (5, 400), (1, 400)]",10,36,9.6
ResultsRS,NOJ,4,RS--GB,73.12072630864978,2.6462525443836995,1666.880896299961,2200,"[(20, 1200), (5, 400), (1, 400)]",10,36,9.6
ResultsRS,NOJ,4,RS--2S--GB,73.21536459997415,2.740890835708072,10223.526754900115,2440,"[(20, 1200), (5, 400), (1, 400)]",10,36,9.6
ResultsRS,NOJ,5,Current Horns Rev,70.47447376426608,0.0,0.0,0,"[(20, 1200), (5, 400), (1, 400)]",10,36,9.6
ResultsRS,NOJ,5,RS,73.00353135759562,2.52905759332954,1607.8709490000037,2000,"[(20, 1200), (5, 400), (1, 400)]",10,36,9.6
ResultsRS,NOJ,5,RS--2S,73.03804465181952,2.563570887553439,4889.721935599926,2160,"[(20, 1200), (5, 400), (1, 400)]",10,36,9.6
ResultsRS,NOJ,5,RS--GB,73.0573032265999,2.5828294623338195,1646.8487046000082,2200,"[(20, 1200), (5, 400), (1, 400)]",10,36,9.6
ResultsRS,NOJ,5,RS--2S--GB,73.09675542853095,2.622281664264875,4909.638407299877,2360,"[(20, 1200), (5, 400), (1, 400)]",10,36,9.6
