"script","wake_model","seed","method","AEP [GWh]","Surrogate AEP [GWh]","Improvement over Horns Rev [GWh]","runtime_sec","iterations","wd_step_deg","n_wd","ws"
"ResultsSS","NOJ","1","Current Horns Rev","701.8653557500002","70.47447376426608","0.0","0.0","0","10","36","9.6"
"ResultsSS","NOJ","1","SmartStart","712.5999260931526","72.27765953724","10.734570343152427","120.81859369995072","0","10","36","9.6"
"ResultsSS","NOJ","1","SS--2S","714.5663652998835","73.10867455617128","12.701009549883338","25726.132000999933","640","10","36","9.6"
"ResultsSS","NOJ","1","SS--2S--GB","714.5663652998835","73.10867455617128","12.701009549883338","25734.67157049995","2640","10","36","9.6"
"ResultsSS","NOJ","1","SS--GB","713.2117641175525","72.72774073245121","11.346408367552385","934.9636634999188","2000","10","36","9.6"
"ResultsSS","NOJ","2","Current Horns Rev","701.8653557500002","70.47447376426608","0.0","0.0","0","10","36","9.6"
"ResultsSS","NOJ","2","SmartStart","712.4610690302251","72.16181375217445","10.595713280224913","108.97275720001198","0","10","36","9.6"
"ResultsSS","NOJ","2","SS--2S","714.740422753756","73.09997469475901","12.875067003755817","24813.190159499994","720","10","36","9.6"
"ResultsSS","NOJ","2","SS--2S--GB","714.740422753756","73.09997469475901","12.875067003755817","24819.367239200044","2720","10","36","9.6"
"ResultsSS","NOJ","2","SS--GB","712.9645141774247","72.64255057506472","11.099158427424527","560.4803521999856","2000","10","36","9.6"
"ResultsSS","NOJ","3","Current Horns Rev","701.8653557500002","70.47447376426608","0.0","0.0","0","10","36","9.6"
"ResultsSS","NOJ","3","SmartStart","712.3267720782877","72.17155513263042","10.461416328287555","162.65902939997613","0","10","36","9.6"
"ResultsSS","NOJ","3","SS--2S","714.6185206954664","73.06898584448177","12.75316494546621","24023.97422059998","640","10","36","9.6"
"ResultsSS","NOJ","3","SS--2S--GB","714.6185206954664","73.06898584448177","12.75316494546621","24030.440413500066","2640","10","36","9.6"
"ResultsSS","NOJ","3","SS--GB","713.0367827778102","72.65585187767911","11.171427027810068","509.81932220002636","2000","10","36","9.6"
"ResultsSS","NOJ","4","Current Horns Rev","701.8653557500002","70.47447376426608","0.0","0.0","0","10","36","9.6"
"ResultsSS","NOJ","4","SmartStart","712.0367289169942","72.17276613115314","10.171373166994044","160.1858016999904","0","10","36","9.6"
"ResultsSS","NOJ","4","SS--2S","714.5976565729309","73.1312657380584","12.73230082293071","10725.734103900031","400","10","36","9.6"
"ResultsSS","NOJ","4","SS--2S--GB","714.5976565729309","73.1312657380584","12.73230082293071","10731.876609500032","2400","10","36","9.6"
"ResultsSS","NOJ","4","SS--GB","713.0315135646902","72.72449668815014","11.166157814689996","917.5357427001","2000","10","36","9.6"
"ResultsSS","NOJ","5","Current Horns Rev","701.8653557500002","70.47447376426608","0.0","0.0","0","10","36","9.6"
"ResultsSS","NOJ","5","SmartStart","712.3272656645684","72.20340380272847","10.461909914568196","170.06707500002813","0","10","36","9.6"
"ResultsSS","NOJ","5","SS--2S","714.4457711262265","73.092243818389","12.58041537622637","28108.878039100091","800","10","36","9.6"
"ResultsSS","NOJ","5","SS--2S--GB","714.4457711262265","73.092243818389","12.58041537622637","28113.731138900155","2800","10","36","9.6"
"ResultsSS","NOJ","5","SS--GB","712.9413405591279","72.73225355571242","11.075984809127704","642.8654554999666","2000","10","36","9.6"
