script,wake_model,seed,method,AEP [GWh],Surrogate AEP [GWh],Improvement over Horns Rev [GWh],runtime_sec,iterations,wd_step_deg,n_wd,ws
ResultsSS,NOJ,1,Current Horns Rev,701.8653557500002,70.00978952706822,0.0,0.0,0,5,72,9.6
ResultsSS,NOJ,1,SmartStart,712.5999260931526,72.12193614866618,10.734570343152427,88.3128779999679,0,5,72,9.6
ResultsSS,NOJ,1,SS--2S,714.8891257167484,72.6325632798648,13.023769966748205,17591.680265099974,560,5,72,9.6
ResultsSS,NOJ,1,SS--GB,712.5999260931526,72.12193614866618,10.734570343152427,97.25687509996351,2000,5,72,9.6
ResultsSS,NOJ,1,SS--2S--GB,714.8891257167484,72.6325632798648,13.023769966748205,17599.728963599948,2560,5,72,9.6
ResultsSS,NOJ,2,Current Horns Rev,701.8653557500002,70.00978952706822,0.0,0.0,0,5,72,9.6
ResultsSS,NOJ,2,SmartStart,712.4610690302251,72.104949528579,10.595713280224913,164.2279529000516,0,5,72,9.6
ResultsSS,NOJ,2,SS--2S,714.8069940713663,72.61255453642804,12.9416383213661,11894.386513100064,320,5,72,9.6
ResultsSS,NOJ,2,SS--GB,712.4610690302251,72.104949528579,10.595713280224913,169.90041760005988,2000,5,72,9.6
ResultsSS,NOJ,2,SS--2S--GB,714.8069940713663,72.61255453642804,12.9416383213661,11899.650170100096,2320,5,72,9.6
ResultsSS,NOJ,3,Current Horns Rev,701.8653557500002,70.00978952706822,0.0,0.0,0,5,72,9.6
ResultsSS,NOJ,3,SmartStart,712.3267720782877,72.0677044061938,10.461416328287555,107.48660689999815,0,5,72,9.6
ResultsSS,NOJ,3,SS--2S,714.99420658544,72.62882984767117,13.128850835439835,22027.821873299952,720,5,72,9.6
ResultsSS,NOJ,3,SS--GB,712.3267720782877,72.0677044061938,10.461416328287555,114.70004309999058,2000,5,72,9.6
ResultsSS,NOJ,3,SS--2S--GB,714.99420658544,72.62882984767117,13.128850835439835,22034.075105199998,2720,5,72,9.6
ResultsSS,NOJ,4,Current Horns Rev,701.8653557500002,70.00978952706822,0.0,0.0,0,5,72,9.6
ResultsSS,NOJ,4,SmartStart,712.0367289169942,72.03257352447444,10.171373166994044,148.5304927000543,0,5,72,9.6
ResultsSS,NOJ,4,SS--2S,714.6826359487981,72.58314841801452,12.817280198797903,14874.051696000039,400,5,72,9.6
ResultsSS,NOJ,4,SS--GB,712.0367289169942,72.03257352447444,10.171373166994044,156.61965270002838,2000,5,72,9.6
ResultsSS,NOJ,4,SS--2S--GB,714.6826359487981,72.58314841801452,12.817280198797903,14880.538580200053,2400,5,72,9.6
ResultsSS,NOJ,5,Current Horns Rev,701.8653557500002,70.00978952706822,0.0,0.0,0,5,72,9.6
ResultsSS,NOJ,5,SmartStart,712.3272656645684,72.09283859113029,10.461909914568196,156.50538350001443,0,5,72,9.6
ResultsSS,NOJ,5,SS--2S,714.8439713195794,72.61645666504026,12.978615569579233,26169.561801000033,640,5,72,9.6
ResultsSS,NOJ,5,SS--GB,712.3272656645684,72.09283859113029,10.461909914568196,160.7387788000633,2000,5,72,9.6
ResultsSS,NOJ,5,SS--2S--GB,714.8439713195794,72.61645666504026,12.978615569579233,26173.469150900026,2640,5,72,9.6
