wake_model,bin_case,seed,n_wd,n_ws,speed_mode,method,AEP [GWh],runtime_sec
NOJ,360wd_mean_ws_1deg,1,360,1,mean_ws,Baseline,70.01138389416202,0.46243906021118164
NOJ,360wd_mean_ws_1deg,1,360,1,mean_ws,SmartStart,72.08556841952668,98.06286311149597
NOJ,360wd_mean_ws_1deg,1,360,1,mean_ws,SS--2S,72.51399066082328,7412.60461974144
NOJ,180wd_mean_ws_2deg,1,180,1,mean_ws,Baseline,70.00919025577798,0.6017248630523682
NOJ,180wd_mean_ws_2deg,1,180,1,mean_ws,SmartStart,72.07466818228632,117.54958319664001
NOJ,180wd_mean_ws_2deg,1,180,1,mean_ws,SS--2S,72.50447172846955,4737.513036727905
NOJ,72wd_mean_ws,1,72,1,mean_ws,Baseline,70.00978952706822,0.14618349075317383
NOJ,72wd_mean_ws,1,72,1,mean_ws,SmartStart,72.07557912464478,69.07025623321533
NOJ,72wd_mean_ws,1,72,1,mean_ws,SS--2S,72.51915318770544,3497.592479467392
NOJ,36wd_mean_ws,1,36,1,mean_ws,Baseline,70.47447376426608,0.17627692222595215
NOJ,36wd_mean_ws,1,36,1,mean_ws,SmartStart,72.16992310942462,108.1905927658081
NOJ,36wd_mean_ws,1,36,1,mean_ws,SS--2S,72.98921180377951,3663.0464770793915
NOJ,360wd_mean_ws_1deg,2,360,1,mean_ws,Baseline,70.01138389416202,0.5664129257202148
NOJ,360wd_mean_ws_1deg,2,360,1,mean_ws,SmartStart,72.07857871907339,118.10060977935791
NOJ,360wd_mean_ws_1deg,2,360,1,mean_ws,SS--2S,72.53995554539841,7208.293662071228
NOJ,180wd_mean_ws_2deg,2,180,1,mean_ws,Baseline,70.00919025577798,0.21714425086975098
NOJ,180wd_mean_ws_2deg,2,180,1,mean_ws,SmartStart,72.06802741671501,121.68405222892761
NOJ,180wd_mean_ws_2deg,2,180,1,mean_ws,SS--2S,72.51943142872966,5191.268828630447
NOJ,72wd_mean_ws,2,72,1,mean_ws,Baseline,70.00978952706822,0.21019864082336426
NOJ,72wd_mean_ws,2,72,1,mean_ws,SmartStart,72.06654722883647,104.74308228492737
NOJ,72wd_mean_ws,2,72,1,mean_ws,SS--2S,72.55003601089246,3899.766467809677
NOJ,36wd_mean_ws,2,36,1,mean_ws,Baseline,70.47447376426608,0.3754003047943115
NOJ,36wd_mean_ws,2,36,1,mean_ws,SmartStart,72.1933704422288,111.02320432662964
NOJ,36wd_mean_ws,2,36,1,mean_ws,SS--2S,73.02986984319966,3655.09139251709
NOJ,360wd_mean_ws_1deg,3,360,1,mean_ws,Baseline,70.01138389416202,0.5247209072113037
NOJ,360wd_mean_ws_1deg,3,360,1,mean_ws,SmartStart,72.18815975067037,113.56663393974304
NOJ,360wd_mean_ws_1deg,3,360,1,mean_ws,SS--2S,72.51176636301207,7037.300505876541
NOJ,180wd_mean_ws_2deg,3,180,1,mean_ws,Baseline,70.00919025577798,0.23442435264587402
NOJ,180wd_mean_ws_2deg,3,180,1,mean_ws,SmartStart,72.1795610137934,114.9366934299469
NOJ,180wd_mean_ws_2deg,3,180,1,mean_ws,SS--2S,72.51109683352561,3603.9235484600067
NOJ,72wd_mean_ws,3,72,1,mean_ws,Baseline,70.00978952706822,0.1179347038269043
NOJ,72wd_mean_ws,3,72,1,mean_ws,SmartStart,72.1690293873433,71.76205611228943
NOJ,72wd_mean_ws,3,72,1,mean_ws,SS--2S,72.51593255992476,3333.932482481003
NOJ,36wd_mean_ws,3,36,1,mean_ws,Baseline,70.47447376426608,0.32097887992858887
NOJ,36wd_mean_ws,3,36,1,mean_ws,SmartStart,72.26378589085685,112.00489711761475
NOJ,36wd_mean_ws,3,36,1,mean_ws,SS--2S,73.04534140325494,3508.47833108902
