wake_model,bin_case,n_wd,n_ws,speed_mode,method,aep_mean,aep_std,runtime_mean_sec,runtime_std_sec,n_runs
NOJ,180wd_mean_ws_2deg,180,1,mean_ws,Baseline,70.00919025577798,0.0,0.35109782218933105,0.21722128276982933,3
NOJ,180wd_mean_ws_2deg,180,1,mean_ws,SS--2S,72.51166666357494,0.007496111504099977,4510.90180460612,817.5761417217722,3
NOJ,180wd_mean_ws_2deg,180,1,mean_ws,SmartStart,72.10741887093157,0.06256509829261733,118.05677628517151,3.4021531876645708,3
NOJ,360wd_mean_ws_1deg,360,1,mean_ws,Baseline,70.01138389416202,0.0,0.5178576310475668,0.05232561129119679,3
NOJ,360wd_mean_ws_1deg,360,1,mean_ws,SS--2S,72.52190418974459,0.01567244256310685,7219.399595896403,187.89837890619526,3
NOJ,360wd_mean_ws_1deg,360,1,mean_ws,SmartStart,72.11743562975681,0.06134851210382241,109.91003561019897,10.50741911170728,3
NOJ,36wd_mean_ws,36,1,mean_ws,Baseline,70.47447376426608,0.0,0.29088536898295086,0.10291620339938083,3
NOJ,36wd_mean_ws,36,1,mean_ws,SS--2S,73.02147435007804,0.02899131271405941,3608.872066895167,87.03446147609694,3
NOJ,36wd_mean_ws,36,1,mean_ws,SmartStart,72.20902648083676,0.04885068160444967,110.40623140335083,1.980586052939172,3
NOJ,72wd_mean_ws,72,1,mean_ws,Baseline,70.00978952706822,0.0,0.15810561180114746,0.047273261419470365,3
NOJ,72wd_mean_ws,72,1,mean_ws,SS--2S,72.52837391950756,0.018828907647584683,3577.097143252691,291.17480730815754,3
NOJ,72wd_mean_ws,72,1,mean_ws,SmartStart,72.10371858027484,0.0567408135773772,81.85846487681071,19.86430799409214,3
