Optimization bins,Pipeline,Mean AEP [GWh],Best AEP [GWh],Std. Dev. [GWh],Delta AEP [GWh],Delta AEP [%],Runtime [min]
10 deg bins,Reference,701.8653557500002,,,,,
10 deg bins,SS,712.3503523566454,712.5999260931527,0.2085628913181553,10.484996606645268,1.4938757869650365,2.4090108566665247
10 deg bins,SS--2S,714.593747289653,714.7404227537563,0.1058175484114719,12.728391539652876,1.8135090206940838,377.99302841366676
10 deg bins,SS--GB,713.0371830393209,713.2117641175521,0.10603938009886832,11.171827289320731,1.591733684786696,11.885548453666656
10 deg bins,SS--2S--GB,714.593747289653,714.7404227537563,0.1058175484114719,12.728391539652876,1.8135090206940838,378.10028990533414
10 deg bins,RS,714.5555987471524,714.8382349776684,0.26187607796084317,12.690242997152268,1.8080737128835362,21.58225129533404
10 deg bins,RS--2S,714.7730720983305,715.0333977037548,0.21658784822398072,12.907716348330382,1.8390587656997885,131.56956904633435
10 deg bins,RS--GB,714.5821361440251,714.8665377366141,0.25570730983497264,12.716780394024909,1.8118546940439872,24.006347712667583
10 deg bins,RS--2S--GB,714.795149260658,715.0571925024512,0.21864356097604887,12.929793510657873,1.8422042639277072,133.91316520766705
5 deg bins,Reference,701.8653557500002,,,,,
5 deg bins,SS,712.3503523566454,712.5999260931527,0.2085628913181553,10.484996606645268,1.4938757869650365,2.2168777133336213
5 deg bins,SS--2S,714.8433867283862,714.9942065854406,0.11402221791011773,12.978030978386073,1.8490770162772876,308.52500716166685
5 deg bins,SS--GB,712.3503523566454,712.5999260931527,0.2085628913181553,10.484996606645268,1.4938757869650365,2.3307192243336856
5 deg bins,SS--2S--GB,714.8433867283862,714.9942065854406,0.11402221791011773,12.978030978386073,1.8490770162772876,308.6248732333337
5 deg bins,RS,715.1310135786432,715.3067586685179,0.1660368153499612,13.265657828643043,1.8900573621371595,19.467641987000047
5 deg bins,RS--2S,715.3136905079404,715.5481589882329,0.21256987100131133,13.448334757940188,1.916084708807083,106.33987814033385
5 deg bins,RS--GB,715.1310135786432,715.3067586685179,0.1660368153499612,13.265657828643043,1.8900573621371595,19.56021160866677
5 deg bins,RS--2S--GB,715.3136905079404,715.5481589882329,0.21256987100131133,13.448334757940188,1.916084708807083,106.42096619100057
